,EURUSD,GBPUSD,USDJPY,USDCHF,AUDUSD,USDCAD,USDSEK,USDNOK,NZDUSD
2000-01-04,-0.014938403336890005,-0.006108735491753281,0.013667649950835692,-0.015371963562753055,0.0044193843340445405,0.0036640165917734002,-0.0098306289233685,-0.003766951280763431,0.010773374374759337
2000-01-05,-0.002515723270440362,-0.002741395065488761,0.006596178096808458,-0.0025056215868937137,0.001832061068702151,0.0,-0.0008373205741626366,0.0001260398285858333,0.005221427190098771
2000-01-06,0.0010654784967067954,-0.0036418816388467112,0.013684109087404916,0.0009017132551849549,0.00152905198776776,0.0036506405841025824,0.0017359032682868758,0.000630119722747402,0.005053449951409217
2000-01-07,0.002914319020788758,0.00555419921875,-0.00019013214183849492,0.005341055341055334,-0.0012217470983507672,-0.004529544986617395,0.00567672542575437,0.003274559193954696,-0.0029069767441861627
2000-01-10,0.004096761607491395,0.0006107243190425216,0.0010459256441950338,0.005184663636945475,-0.0019814052735862564,0.0043433298862463054,0.004040404040404066,0.007280944012051149,-0.001547987616099089
2000-01-11,-0.006781631466770133,-0.00643203883495147,0.007693768996960504,-0.00630412633723898,-0.0021292775665398,0.00013728720483241474,-0.0061545745058586565,-0.006854436689930021,0.0007745933384974979
2000-01-12,0.003987938916447886,0.0009110233829332515,-0.0031105665001414096,0.003524511374559447,-0.0004560656734571289,-0.0013726835964310569,0.0025008931761341113,0.001003890074036784,-0.004050144648023224
2000-01-13,0.0010710808179164033,-0.0010314282247300133,0.0031202723146748212,0.0030012771392080584,-0.016300284133392906,-0.0037800687285223233,-0.0001187930624850786,-0.004324934185784168,-0.010496183206107013
2000-01-14,0.014020537124802557,0.007888460832874866,-0.0021679705910077063,0.015152479786082695,0.003300825206301594,0.00013797861331488193,0.006772009029345494,0.0068618193264085026,0.005372217958557135
2000-01-18,0.0006916312617328835,-0.0016483516483516425,-0.003495182316266776,-0.00018814675446843232,0.003765060240963791,0.00034489894460909554,-0.0007080481472739875,0.0016256096036013634,0.008123791102514488
2000-01-19,0.0005931784478496738,-0.0035284097822119165,-0.0009479571523366426,0.0014427298958725743,0.0009044317154054404,0.001723900151703317,0.002243741143127087,-0.0012484394506866447,0.0029097963142581396
2000-01-20,-0.0017763742228363855,-0.006046680372475466,0.000569313976658048,-0.003131850923896118,-0.004800480048004707,-0.0029600055069871622,-0.0022387180393542705,-0.002874999999999961,0.004481683554169669
2000-01-21,0.0032673267326732702,0.00206010664081413,-0.004646752015173172,0.0036443606660383487,0.0067965564114182975,-0.004418668876001064,0.0029522909777988104,0.002757929046007135,0.005485893416927956
2000-01-24,0.00808463918554736,-0.0009685230024212288,0.005335365853658569,0.007324860702435432,0.011766503667481665,-0.001386962552011095,0.0038855528081949142,0.0033754219277408737,0.008496344595929628
2000-01-25,-0.0021910168309928757,0.0023055454435139122,0.0033169067475360414,-0.0003107520198880609,0.0003057169061448928,-0.0007638888888887863,-0.0005864414731409084,0.0012459506603539339,-0.0013812154696133394
2000-01-26,0.0029967036260112323,0.005306495882891227,-0.00018891092849726565,0.0010568852968604325,0.005687932359723424,-0.0006949753283759241,0.0008801783828187304,0.003919860627177751,0.0015810276679841806
2000-01-27,0.012234580384226534,0.0019556316078956915,-0.008880491261218704,0.013352378586510838,-0.006870229007633788,-0.0020168300994505284,0.01014246350471959,0.009916330957545627,-0.0023659305993690705
2000-01-28,0.012800819252432039,0.009438618136952792,0.021351634734534386,0.01029601029601035,0.04549082202713506,0.010104529616724811,0.023795705165409187,0.015035286897821187,0.04147843942505158
2000-01-31,0.0008199241570157056,0.001730317636880363,0.0016798880074659905,0.0006066120715801926,-0.01833281103102491,0.0015177647464643673,-0.0005668934240363743,0.0037484885126966017,-0.01675752069452885
2000-02-01,0.002671873394306745,0.001981424148606914,0.0031678002422435014,0.0027280994240679313,0.010609659540775862,-0.0033753530343734184,-0.005331820760067885,-0.0028912179255512482,0.009991843393148514
2000-02-02,-0.0037878787878788955,0.005603985056039651,0.0067799758521407405,-0.0022974607013300785,-0.007075471698113289,-0.002280895769975144,-0.006843065693430739,-0.006282469493777865,0.001224989791751785
2000-02-03,-0.012036006877718108,0.0021840873634946245,-0.0044280442804428555,-0.014967882680887112,-0.004227336777830049,-0.0012469691721510578,-0.01504363803399178,-0.008145896656534979,-0.013891685121803943
2000-02-04,0.013012295081967107,0.00691171850455552,-0.0035211267605633756,0.013226699477083992,0.01140142517814735,0.0034681279045571944,0.010026815902996367,0.013728855111546867,0.007505070993914842
2000-02-07,-0.002351017070428063,-0.0001256518188100797,0.011251627301469114,-0.002671523982999413,-0.003786086133459543,-0.0006912283127117336,-0.0003463003578436652,-0.0013301088270857298,-0.001215559157212387
2000-02-08,-0.008010545528290502,-0.011673393356100625,0.007724137931034436,-0.007609886764884943,-0.002203683299228598,0.0011067303036591536,-0.007505773672055405,-0.009141542559631954,-0.0008097165991901578
2000-02-09,-0.005245107928182446,-0.000620539869686465,-0.0043799616753353865,-0.0042328691491320125,0.0012608353033884967,-0.0020728252608306352,-0.005933682373472915,-0.00470458850125266,0.004065040650406582
2000-02-10,0.00496705524581853,0.0036121317805317688,-0.003391073228851682,0.0029571217348447476,0.003955696202531556,0.003946548501003955,0.004798689138576728,0.0036832412523022384,-0.003039513677811523
2000-02-11,0.0018279679090076328,0.008415499591785336,0.002299061982711015,0.0015356265356265553,0.006049028971665038,0.001034482758620836,0.002679091438555492,0.0045259938837918234,0.004069175991861629
2000-02-14,0.006541960543800629,0.002076777847702882,-0.0031195522525001573,0.007973014412756774,0.0004777830864788335,0.0022046159145712174,0.008248141263940578,0.004383828543594648,0.00965488907148715
2000-02-15,-0.005186089078706657,-0.0037617554858933033,0.0009203865623561569,-0.006388804380894397,-0.0033333333333334103,0.0026122224513644987,0.00011522064753988204,0.0004243452958294647,-0.00041067761806967695
2000-02-16,-0.000812842918106127,-0.005610972568578787,0.0057931034482758825,-0.001714635639926465,-0.0001587049674655061,-0.004456633527596843,-0.0012096774193548487,-0.001514876083136274,-0.005919575423555923
2000-02-17,-0.002129169623846572,-0.0006230529595014911,0.0081367708904736,-0.0017175806649492031,-0.0030063291139239556,0.00013774104683195176,0.0012111425111021035,0.005583201844884034,-0.0076969819728580635
2000-02-18,0.0013197969543146115,0.0041291291291292165,0.005531876303618288,0.0004915816640040926,0.00445009535918639,-0.0006886103842445035,-0.000864055299539257,-0.003379601689800893,0.005703809329802523
2000-02-22,-0.020874751491053556,-0.011197030621713622,0.0014430014430015792,-0.01836383736641689,0.005593735016781176,0.005719404630650571,-0.015335831651772769,-0.01356424851641036,-0.0016270083384177791
2000-02-23,0.004292702405909843,0.007353399389294024,0.0006304034582131912,0.006194081211287061,0.009845061329890159,0.003836930455635601,0.004391357807834062,0.003990178023327351,0.012770339855818769
2000-02-24,0.00865975229080651,0.004129904261310324,-0.001440014400143963,0.007337395846287897,0.00846354166666674,-0.0043683025049484625,0.004896817068905213,0.003424029348823021,-0.0024655845490035855
2000-02-25,0.01720782546348465,0.004588886095046485,0.00027039206849943653,0.016975308641975273,-0.005020242914979822,-0.005621443751285482,0.00881772827474192,0.012979099384558879,-0.003072511265874711
2000-02-28,0.00972179129175732,-0.0016943834326952345,-0.01630924490899266,0.008497723823975623,0.009646827992151774,0.002275077559462213,-0.0006325474410580068,0.003669393647738106,0.007428807263722748
2000-02-29,0.002696256351757631,0.009822560202788155,0.0065036182101310125,0.0030093289196508888,-0.006336311941510964,-0.0022699133305820185,0.006962425916335668,0.004614923584057573,-0.0039054470709146694
2000-03-01,-0.005876288659793616,-0.004353586977096202,-0.025300327630142005,-0.005820582058205792,0.014504697544091005,-0.0024129610479144414,-0.00725714285714274,-0.008292566519508382,0.0024726973006388153
2000-03-02,0.00842083376650371,0.005328258801141628,0.0025210084033613356,0.0088121680347657,-0.0016455487905217003,0.005044920525224539,0.013641858055603473,0.010936654033567805,-0.005125051250512547
2000-03-03,0.00010397171969223074,-0.002846299810246644,0.004004843066033326,-0.00011966016513098587,-0.0008220979940808393,-0.0022691329161794727,0.0011357183418512218,-0.0006426735218508783,0.0
2000-03-06,0.0015620118712902364,0.0049580472921433305,-0.0005565862708719616,0.0022738152225945107,0.010970744680850908,0.003101309441764233,-0.0032331253545092586,0.0018458973442896376,0.014137214137214249
2000-03-07,0.00449790794979088,-0.002536139994927633,-0.014293669946166654,0.0035820895522387097,-0.0031483015741508025,-0.0019237375472345164,0.0019916917999203143,0.002793462109955458,-0.005376344086021612
2000-03-08,-0.0016708437761068229,-0.005234941658782799,0.006497175141242817,-0.002379535990481907,-0.009681654085986202,0.004474426929166331,0.005338482507950992,0.002133712660028486,-0.007999999999999896
2000-03-09,-0.01115241635687736,0.0025292443882389826,-0.004116381326597418,-0.010435301132975638,-0.009910641754670935,-0.001507675438596423,-0.014405151960230622,-0.007215519280813765,-0.008541793776693285
2000-03-10,0.0025882596542083913,0.0013930222250364555,-0.0016909347111320194,0.003977101536607464,0.003096479791395046,0.00034317089910773646,-0.0004012151086145721,0.00023829381627527013,-0.006666666666666599
2000-03-13,0.0011401326699835845,0.0006969965783802934,-0.008939493742354365,0.0024608366844727225,-0.004703974047039705,0.0026758147512864205,-0.0002293577981652417,0.0028588445503276994,0.0034461787958643963
2000-03-14,0.00041476565740361515,0.0036248012718602673,-0.00446259020129125,0.0007783498982159021,0.004071661237785129,0.0012316956343232377,-0.00240880935994503,0.002850694856871172,0.005913539967373538
2000-03-15,-0.005363036303630553,-0.00031786395422750413,0.006962327134000912,-0.005803170804666524,0.002448979591836542,0.0032804811372333376,-0.0006324019776934309,-0.003079474120573189,0.0038894575230297157
2000-03-16,-0.0014418125643664848,-0.0010795707118816944,0.00047357454063257087,-0.0015043928270549456,0.0029474373669560183,0.0029972752043596618,0.00028763734683323605,-0.0013068789354876431,0.001435014350143371
2000-03-17,0.0016505054672992792,0.0026743075453676823,0.004449493515099823,0.0016271921894774888,0.006593044338223386,0.00027166530834032976,-0.0032206119162641045,0.00029740661432309246,0.00681114551083617
2000-03-20,-0.0016477857878476332,0.0012112711972460666,0.0037700282752122227,-0.0009025270758121762,0.0003297609233303689,-0.0016974470396524666,-0.0027117470574660185,0.0014865909496342145,0.0020682523267838704
2000-03-21,0.0007214263629804485,-0.0024801271860095397,0.003849765258215898,0.0006022282445046212,-0.0057377049180326045,-0.002788546555124838,0.0008678044547296704,0.000950005937537135,-0.01386905975933106
2000-03-22,0.009887593671940031,0.0012734797835083356,-0.0013095126742119767,0.00812518808305751,0.007265521796565366,0.003955804119492479,0.0070520231213873075,0.004389607308102894,0.005537325676784111
2000-03-23,-0.008564647611185583,-0.007896399241945629,0.006368830195747854,-0.013611940298507541,0.002483032610494984,0.00047554347826084253,-0.00757662725289876,-0.009213323883770275,0.0002051282051283021
2000-03-24,-0.0033936651583711397,-0.00502828409805145,-0.0018613308515589289,-0.011439293063793654,-0.0037928759894461095,-0.005228491885652109,-0.007807981492191862,-0.005126371006199282,-0.001638337087855879
2000-03-27,0.00819077242094357,0.0034689372437715082,-0.0011188811188811432,0.008265474805608353,-0.008177952240758901,-0.0030716723549488734,0.008044301952783384,0.0073097663271419755,-0.009935117599351284
2000-03-28,0.003224464322862497,-0.0010710685483871218,-0.011481377765331757,0.005040077726499836,-0.004396678065461512,-0.0043820609380349484,-0.009136644885213485,-0.0019034023316678583,-0.018507462686567
2000-03-29,0.009449811003779951,0.0001260239445495248,-0.0028328611898018607,0.010512959941997524,0.002775963422599448,0.0009627948559247645,0.011672016340822822,0.007151370679379987,0.001994017946161497
2000-03-30,-0.007296226808421902,-0.003265921366662594,-0.0006628787878787401,-0.007174887892376636,-0.00016326530612253976,0.0001374098248023703,-0.003980386501298061,-0.005325443786982187,0.005010020040079999
2000-03-31,0.002088991017338504,0.0,-0.026532739505353953,0.001505570611261664,0.010392609699769295,-0.0013052139863982681,0.00023166917641614937,0.0035693039857229714,0.006048387096774244
2000-04-03,0.0014644351464436767,-0.0036295369211513107,0.02034459262143473,-0.0025856885147323982,-0.0018112958998847128,0.0006878525244189415,0.004979733642154205,0.0034380557202133843,-0.0076030412164866945
2000-04-04,-0.0029203170629953368,0.0009395552771687132,0.0048654836863195605,-0.005245071441490445,0.006797082228116702,-0.001168545504536711,0.001498041023277219,0.003071833648393252,-0.0017974835230677444
2000-04-05,-0.006115890950554537,0.004088050314465352,-0.0031330105383081674,-0.010303030303030258,-0.003469354039319361,0.0011699126006470273,-0.007881716718444398,-0.005594817432273191,-0.005165905026822792
2000-04-06,0.006993736951983243,0.006329113924050667,-0.002095238095238039,0.003674219228414044,0.006150265957446832,-0.0022683530382183736,0.004465062336909131,0.003968018951732377,0.004590818363273241
2000-04-07,-0.0010427528675703845,-0.0018951358180667732,0.005249093338423272,-0.0004270896888346476,0.0021655838747294265,0.004064760592490613,-0.002193742062117532,0.0007078810759790777,0.001399160503697816
2000-04-10,0.00020859407592821455,0.00012635835228702597,0.009873730181334972,0.0031740218519196173,0.0020030045067600533,0.0028132290380129543,-0.0037028465632955587,0.0023579344494224497,0.003610832497492389
2000-04-11,-0.00031279324366584316,-0.002835002835002931,0.005452665225157416,-0.0012169151201704143,0.005707570924962102,0.0013684570646594896,0.0027874564459930973,0.0028228652081863093,0.00020064205457459572
2000-04-12,0.004188043136844177,-0.0005666792595392378,-0.01019167835437118,0.0045689917758149345,-0.002177554438860918,-0.0008199521694568501,0.0078758397034977,0.0008210180623973162,0.0018090452261305678
2000-04-13,0.0028349433011338743,6.296832693175602e-05,-0.0009446438692611858,0.0018192844147968401,0.0011739057521380492,0.002598645968679536,0.0024132383360147003,0.0015234970116020374,-0.0006026516673361959
2000-04-14,-0.004182350480970376,0.0013240857503151737,-0.00605143721633894,-0.006779661016949046,-0.00150703281982556,0.00723006616192623,-0.002636707554740547,-0.0002925345190731843,0.00040192926045024
2000-04-17,0.0014659685863875893,0.00044155680312862877,-0.008847031963470364,0.0019502681618721596,0.009978014544224312,0.005959233425882227,0.0022988505747127963,0.005091590097735077,0.006268958543983905
2000-04-18,0.007702859554711505,0.005645775183963364,0.0038391400326327485,0.009914841849148592,-0.0055499495459131465,-0.0012117132278693932,0.0027522935779815683,0.00512402468848272,-0.0016151827175451272
2000-04-19,0.011527377521613813,-0.0008239842809153464,0.0033464002294674167,0.009154971993013294,-0.0018465670639583598,-0.005122329311855522,0.00617566331198538,0.00961649866759351,-0.006419257773319864
2000-04-20,-0.0007465870307168387,-0.0015188912094169504,0.004859919954259606,0.0010146225007461318,0.004383746417130352,-0.0024388591558838213,0.00022732439190731313,-0.002467294009639631,0.007070707070707227
2000-04-21,-0.0003198635248958803,0.0010136205258157727,0.004077761972498761,-0.0007154781779156183,0.0010126582278480178,0.0016977928692700761,-0.0015909090909091983,-0.0017831463905667588,0.003039513677811634
2000-04-24,-0.0018092805449129168,-0.000949367088607711,-0.002077823951643354,-0.0028639618138424083,-0.003364171572750152,0.0008813559322033981,-0.0006829046209879674,-0.00046098882102107996,-0.002224019409623912
2000-04-25,0.014139233675121599,0.0008234623424339116,0.0004732159757712129,0.016335567257060646,-0.001846877098723998,-0.004335162229899048,0.0077448747152621955,0.015334947538337307,-0.001816347124117157
2000-04-26,0.0052077682543125725,-0.00050648939537834,0.007094882224955024,0.005887547836326279,0.011205432937181792,0.004013878495135792,0.004181735985533397,0.0024415171473997077,0.018499486125385323
2000-04-27,0.01475283496642077,0.002984505969011897,-0.0009393199323689538,0.013169446883231073,0.002553191489361728,0.0023038352080229085,0.010782217220033807,0.016346644010195366,0.0014409221902018654
2000-04-28,-0.0006601386291121836,0.012082262210797001,0.0152312899586311,-0.0034662045060658286,0.006510193592599078,0.0017577068685774577,-0.0015366114377337592,-0.0014266925254687868,0.0006179196704427792
2000-05-01,-0.003399122807017596,0.00012855122766408655,0.008427486571587206,-0.00666666666666671,0.006379310344827527,-0.0023619921716830916,-0.005431024868963963,-0.006027458421698828,0.004136504653567741
2000-05-02,0.005734450816056391,-0.002052597819114599,-0.0023877307374414736,0.0029180040852057054,-0.009731944681577676,0.005005749847798224,0.002545328145498571,0.005446378439079247,-0.004939287919324964
2000-05-03,0.0199077719041727,-0.000961230374879829,0.0046948356807512415,0.010707011929008026,-0.00728813559322028,0.004442350407215523,0.015210826529470811,0.013123359580052396,-0.006339468302658524
2000-05-04,-0.0017963399573369676,0.0110139293812761,-0.008887667216419315,-0.0009211814151649511,-0.002367264119039758,0.003819607317563589,0.002974551063126496,0.0034174842905965175,-0.003667481662591787
2000-05-05,-0.005137942589076183,0.009615384615384803,0.00332809466580386,-0.0017288076989570023,-0.0035383319292333626,0.0,-0.0001098418277679647,0.0004394638540978768,0.003065603923973148
2000-05-08,0.0003351955307262511,-0.001436969301110258,0.004607021100156539,-0.0010390809905905796,0.011073253833049357,-0.003538050734312459,-0.0008788311545643301,-0.0014276301339776198,0.00949040643697141
2000-05-09,-0.00809043555358524,-0.0003264773098271556,0.005319636797211702,-0.004969661947413995,0.00720658888126291,0.0012058685603268948,-0.003936228697086319,-0.004618937644341736,0.011899791231732904
2000-05-10,-0.008134549851599338,0.010690952286676048,-0.002554511449685215,-0.004007201347348777,0.0022355975924333027,0.0006691201070592179,-0.00018765453903224483,-0.0006629101756712164,0.003141361256544517
2000-05-11,0.008424786609023238,0.010402080416083148,-0.00786609347845968,0.005947521865889316,0.0043177892918828675,-0.0036776997659645483,0.011316588462600086,0.01039248203427312,-0.0004186728072013146
2000-05-12,-0.0064977973568282055,-0.011534405483785926,0.002489167511754431,-0.009390215627173681,-0.0034423407917384408,-0.0018791946308723828,-0.007423580786026118,-0.01395119816172441,-0.003753910323253229
2000-05-15,-0.006347121908513831,0.006434494195688423,0.006805223468824728,-0.0033352837916911238,0.012371493291514213,0.0016810112963958623,-0.003189617245930476,-0.0053820118737170075,0.011390002109259445
2000-05-16,0.009389152767038444,0.0044642857142858094,0.0024662038728533453,0.006986438090764935,-0.005889485536116568,-0.0023494663355038137,0.0044135495972634775,0.009762356353899326,0.0023255813953488857
2000-05-17,0.01479654747225645,0.00691043274069103,-0.0020045558086559945,0.01434235074626855,0.015479331574318467,0.008747140357959982,0.010765681643414293,0.011214850008286703,0.026030368763557465
2000-05-18,-0.0034629133154602254,0.005871237683898078,-0.007577832557290276,-0.0012070352914127502,-0.0031562335612834724,0.001000533617929511,-0.007466579719595634,-0.0028409090909090606,0.018334437817539184
2000-05-19,0.0006706908115359234,-0.002490743857287092,-0.0166513339466422,-0.0017264199804339908,-0.004364525139664788,-0.00293196508296123,0.002759436286587258,0.0012601358755204295,-0.008324205914567284
2000-05-22,-0.009960159362549792,-0.003488294090024824,0.0012162035737672827,-0.009338790568974464,-0.002090592334494712,0.0013366303548754122,0.007043407043406891,-0.002243502051983426,-0.006096233398650064
2000-05-23,0.0004428697962799433,0.012153720803910861,-0.0028032143524574504,0.0064009310445156675,-0.0012180267965895553,0.003537342321297432,-0.0013012361743655054,0.003948667324777944,0.001308044473512071
2000-05-24,-0.0070360598065083435,-0.0018298881735004935,0.008058470764617631,-0.005030355594102254,0.0059513390512864195,0.0032588454376163423,-0.003800217155266017,-0.005954331913034072,0.010352422907488723
2000-05-25,0.002645502645502562,0.003400204012240726,-0.000929540806841378,0.00011622501162245058,0.0022807017543862163,-0.001856148491879317,-0.0010899182561309173,0.0008243116997308508,-0.00569426193604905
2000-05-26,-0.0255639097744359,-0.011428571428571566,-0.002791216970599142,-0.022196397443346894,-0.002799160251924393,-0.0007969715082686291,-0.01691216584833599,-0.020535910388754575,-0.00414394765539805
2000-05-30,-0.00042946102641194805,-0.0050167224080266415,-0.0069042731852958505,0.0033872117898738896,-0.009015256588072118,-0.0005982053838483603,-0.0008879023307435396,0.0031393653997082716,-0.003477504890241123
2000-05-31,-0.0015008576329329504,-0.0012025654730091206,0.012213453588876266,-0.00011844832691731977,0.010511562718990897,-0.003923915935089117,-0.0016662963785826213,-0.0023471554711075315,0.006342957130358595
2000-06-01,0.0022563661759964493,0.0035534696614147876,0.00928160386114718,-0.00029615589646381224,-0.0022723300122358125,-0.004473526073312417,-0.0021141649048626032,0.0015684517140934773,0.0024117518088138112
2000-06-02,-0.01325275657336733,-0.010876052788646562,-0.005425786279197986,-0.011731247778172804,-0.01191709844559563,-0.008383635144198598,-0.016001338090990136,-0.014597315436241542,-0.022084048027444125
2000-06-05,-0.004117833386126146,-0.003700033036009298,-0.006564956079519235,-0.002997601918465209,-0.0037852718513422534,-0.0004058167061210538,-0.0022097569267381933,-0.006867586128611047,-0.0023529411764708907
2000-06-06,-0.010344827586206917,-0.006563833278634745,-0.016753536857781026,-0.0120264582080577,-0.012739935450993611,6.76635766967415e-05,-0.010675752413401463,-0.009943993599268452,-0.013296749683410547
2000-06-07,-0.0031249999999999334,0.0006568144499179418,-0.0013252555850057357,-0.00395617772367618,-0.0022033898305084954,0.0003382949932340118,-0.006313856044082189,-0.0035326714384670277,0.003813559322033866
2000-06-08,0.005446166736489122,0.010956175298804771,0.0034123222748814186,0.00274977085242889,0.003742769649540456,0.00101454176530269,0.011783733826247422,0.007252589382950703,0.007470651013874008
2000-06-09,0.002309468822170979,-0.0012600305060016526,0.008690723597203798,0.002010968921389411,0.0023874488403818894,-0.0023648648648648685,-0.0014843571591687255,0.004370830457786745,0.0010683760683760646
2000-06-12,-0.0018860016764458143,-0.002711640211640165,-0.001217456452519139,-0.005291005291005346,-0.00811907983761817,0.0,-0.0061749571183531415,-0.0046953733394409225,-0.005736137667304075
2000-06-13,-0.007797068302318411,-0.0006609385327164263,0.001312705110173562,-0.006175103937392956,-0.010212623472292126,-0.004605485946495014,-0.009089863076746085,-0.007421470486710491,-0.002754237288135508
2000-06-14,0.003023983315954215,0.007122412301138192,0.0009364172675343507,0.0038757305444478973,-0.005660063259530501,-0.00013608219364491525,-0.00917324663260577,-0.006201819973337908,-0.0077780113516923155
2000-06-15,0.006295907660021083,-0.005296960868701683,-0.0034615024791841975,0.004167177350165474,-0.0013300083125520334,0.0042871725076556455,0.010781671159029615,0.007348652746996143,0.014285714285714235
2000-06-16,-0.012230514096185807,-0.004088361358390857,-0.002816372512204235,-0.012693762968387756,-0.011178694722998372,-0.003387992952974539,-0.002724637681159492,-0.007005558128763245,-0.01985370950888199
2000-06-19,0.0027021409270422403,0.0007258809555230616,-0.004518922990020768,0.0032142415626159604,0.009794156706507184,-0.0034675006799022023,0.002150787653316222,0.0005247507433969734,0.011627906976744207
2000-06-20,0.00680129747828806,0.0035761589403975336,-0.003026290902212958,0.0030807147258162804,-0.0021533874440947676,0.0034795660776421045,0.0026102088167054838,0.004953379953380077,-0.0044201220795622165
2000-06-21,0.01078794288736118,0.008684034736138768,0.0007588692847657619,0.006756756756756799,0.0018254231662795384,0.001427794397606652,0.008851605438241261,0.008988112496375544,-0.00021043771043771642
2000-06-22,0.00606512023834882,-0.009265387160820482,-0.010426540284360186,0.003965832824893267,0.005506424161521695,-0.00027157308710723527,0.009863516458309407,0.004367816091954024,0.005076142131979822
2000-06-23,0.004274417610600434,0.006662225183211357,0.0018199233716473806,0.0066848982072318375,0.004862508383635111,0.0046179966044144205,0.005110732538330387,0.0001144426642254448,0.002757158006362781
2000-06-26,-0.002558089959496912,0.0013342228152100066,0.010230423558657442,-0.003320253546634455,-0.00016764459346174654,0.002501182991955675,0.004632768361581885,0.002174161803409902,0.004259850905218299
2000-06-27,-0.006565014824227,-0.0006666666666667043,-0.0012303615370053977,-0.007934585099939495,-0.007817697937458234,-0.0003371544167229956,-0.002080755820492608,-0.007227677551952527,-0.005296610169491456
2000-06-28,0.0,-0.00708280929370475,-0.00018951956789536872,0.0025032053238902563,-0.0018263323924955221,0.0008768971332209219,-0.0009580163426317068,-0.004911037758634551,0.015053763440860068
